,food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber
90,Dal parantha/paratha,268.2444763183594,30.0324821472168,6.775821685791016,13.053577423095703,1.4258382320404053,6.463358402252197
91,Sprouted moong parantha/paratha,228.59439086914065,24.306026458740234,4.292011260986328,12.426431655883787,1.474080204963684,4.488044261932373
92,Pea parantha/paratha (Matar ka parantha/paratha),190.73114013671875,21.512731552124023,5.594754695892334,8.798940658569336,1.287093162536621,5.606614112854004
93,Keema parantha/paratha,238.086181640625,18.35640525817871,9.405674934387209,13.909818649291992,0.9902732968330384,3.441148042678833
94,Paneer parantha/paratha,262.9658203125,24.32621383666992,7.984040260314941,14.621496200561523,3.7711048126220703,4.000173091888428
95,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.4920959472656,21.389270782470703,5.544742584228516,12.08664894104004,1.3119601011276243,4.393850326538086
96,Poori,737.6346435546875,8.220335960388184,1.354683756828308,77.60576629638672,0.2305844724178314,1.4552441835403442
97,Spinach poori (Palak poori),684.25439453125,7.757184982299805,1.4218518733978271,71.85770416259766,0.2364444583654403,1.5484445095062256
98,Methi poori,710.0203247070312,7.981307506561279,1.4534616470336914,74.6041488647461,0.2609230875968933,1.61338472366333
99,Dal stuffed poori,785.162841796875,10.137200355529783,2.0753488540649414,81.68533325195312,0.2936740815639496,1.9644328355789185
100,Potato stuffed poori (Aloo ki poori),776.7381591796875,9.400838851928713,1.5213927030563354,81.35301971435547,0.2637583911418915,1.6401007175445557
101,Tandoori parantha/paratha,295.3700561523437,30.7401180267334,5.079640865325928,16.512575149536133,0.8622754812240601,5.441916465759277
102,Boiled rice (Uble chawal),117.18966674804688,25.720001220703125,2.6033332347869877,0.1833333373069763,0.2233333438634872,1.246666669845581
103,Plain pulao,140.20791625976562,21.81610870361328,2.338649034500122,4.622068881988525,1.145469307899475,1.685498595237732
104,Mixed vegetable pulao,113.0494384765625,17.489917755126953,2.722787380218506,3.327634572982788,1.3519388437271118,2.6673471927642822
105,Mushroom pulao,124.28645324707033,19.018360137939453,2.5225167274475098,4.029394626617432,0.9980189800262452,1.8818777799606323
106,Sprouted moong pulao,112.97147369384766,17.491247177124023,2.1882078647613525,3.607832670211792,1.4321892261505127,1.78466534614563
107,Paneer pulao,581.9120483398438,8.757226943969727,1.9848072528839111,59.809207916259766,1.1113379001617432,0.6193639039993286
108,Peanut pulao ,193.2752685546875,21.18099975585937,5.3159260749816895,9.512810707092283,1.6029337644577026,2.900153636932373
109,Navratan pulao,261.707763671875,36.979042053222656,6.198443412780762,9.453126907348633,2.5189785957336426,3.8167121410369873
110,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.42837524414062,27.569656372070312,4.875859260559082,4.820158958435059,2.480273723602295,3.154414653778076
111,Mutton biryani/biriyani,190.76315307617188,22.495088577270508,7.376446723937988,7.724486827850342,2.389554023742676,2.415123462677002
112,Vegetable biryani/biriyani,174.60516357421875,18.557273864746094,3.1605417728424072,9.507964134216309,2.1417360305786133,3.3085036277771
113,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.30288696289062,21.622270584106445,4.256220817565918,7.879806518554687,0.777531623840332,2.522399425506592
115,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.73703002929688,32.93044662475586,5.753233909606934,4.316627025604248,3.914783477783203,2.1338064670562744
116,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.0386047363281,65.08139038085938,7.453181743621826,8.532773971557617,11.64930820465088,5.117789268493652
117,Spanish rice,164.24085998535156,31.09807014465332,4.189563274383545,2.2327356338500977,1.259632229804993,2.77788519859314
119,Macroni cheese pie,170.62753295898438,21.09503173828125,5.85098123550415,7.483591079711914,3.4027557373046875,0.3990814387798309
120,Vegetable chowmein,129.71388244628906,15.444334983825684,3.066948175430298,6.358810901641846,1.9676917791366575,1.8633472919464111
121,Chicken chowmein,151.3335723876953,13.301461219787598,6.331267833709717,8.234783172607422,1.630964279174805,1.6449854373931885
123,Spaghetti and cheese balls in tomato sauce,508.322021484375,7.815141677856445,2.4087061882019043,52.08030700683594,1.8348984718322756,0.5925891995429993
124,Penne platter,177.40061950683594,20.87212181091309,5.040764808654785,8.709636688232422,4.501567840576172,1.091510534286499
125,Pasta hot pot,125.1728973388672,11.601784706115724,5.837541580200195,6.466379642486572,5.993335247039795,0.8040021061897278
126,Chicken lasagne,187.4915313720703,13.902274131774902,10.452420234680176,10.36139965057373,2.742215633392334,0.1057531610131263
127,Fettuccine with spinach sauce,129.20672607421875,12.18928050994873,3.103574752807617,7.828339576721191,1.1831419467926023,0.7732551693916321
128,Naan,286.4496459960937,51.75419998168945,8.05210018157959,4.987837314605713,5.586300849914551,1.90918493270874
129,Bhatura,793.2029418945312,10.733963012695312,1.6303993463516235,82.5638427734375,0.6942034959793091,0.3792185485363006
130,Idli,137.53526306152344,28.17755699157715,4.637406349182129,0.3331670761108398,0.2842892706394195,2.3092269897460938
131,Masala dosa,164.5846710205078,19.56658744812012,3.2877273559570312,7.840357303619385,1.32723867893219,2.522749423980713
132,Semolina dosa (Suji/Rava dosa),227.05209350585935,32.84082794189453,7.300220012664795,7.116666316986084,4.374471187591553,4.044466972351074
133,Onion tomato uttapam,462.0191955566406,11.315990447998049,1.906250596046448,45.30297088623047,0.796848714351654,1.26231849193573
134,Paneer kaathi roll,285.942138671875,20.10346984863281,6.916443347930908,19.554462432861328,3.294161558151245,2.404341220855713
135,Makki ki roti,263.9683532714844,24.191999435424805,3.4924707412719727,16.849411010742188,0.6976470351219177,5.191764831542969
136,Washed moong dal (Dhuli moong ki dal),50.00269317626953,5.906931400299072,2.677743673324585,1.680992841720581,0.1205956637859344,1.1709928512573242
137,Washed urad dal (Dhuli urad ki dal),61.32363510131836,5.8411149978637695,2.510929107666016,2.9800169467926025,0.3224831223487854,1.5285979509353638
138,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25393676757812,7.101042747497559,2.789580821990967,3.602670431137085,1.0464659929275513,2.720830202102661
139,Dry washed urad,124.71212768554688,15.66222095489502,6.8496856689453125,3.4971020221710205,0.7276187539100647,4.05785608291626
140,Mixed dal,61.92817687988281,5.792935848236084,2.5055992603302,3.103567600250244,0.3387412130832672,1.6162534952163696
141,Whole moong (Moong ki dal),53.698612213134766,5.218648910522461,2.249401330947876,2.5644569396972656,0.5858303308486938,2.0171144008636475
142,Whole masoor (Masoor ki dal),54.05467224121094,5.37463903427124,2.2791972160339355,2.518010377883911,0.6699597239494324,1.9838132858276367
143,Whole moth (Moth ki dal),54.99718475341797,5.740952014923096,2.005776882171631,2.6187903881073,0.6576908230781555,1.84885573387146
144,Whole urad (Urad ki dal),53.79513549804688,5.047299385070801,2.213059902191162,2.62381911277771,0.5669622421264648,2.3189191818237305
145,Moti mahal dal (Urad rajmah mix dal),103.12796020507812,8.737751007080078,3.929511785507202,5.656059265136719,1.7049695253372192,3.3802528381347656
146,Black channa curry/Bengal gram curry (Kale chane ki curry),140.67662048339844,14.114450454711914,5.666234970092773,6.610110759735107,2.355384349822998,7.989398956298828
147,Chickpeas curry (Safed channa curry),163.43203735351562,19.97835922241211,6.099023818969727,6.842765808105469,4.784503936767578,4.732227325439453
148,Lobia curry,148.98741149902344,17.881961822509766,6.064000129699707,5.619450569152832,2.507986307144165,4.567117214202881
149,Soyabean curry,163.27719116210938,6.759547233581543,10.426908493041992,10.189997673034668,2.65808629989624,7.341466903686523
150,Kidney bean curry (Rajmah curry),143.7259063720703,16.378459930419922,5.951425075531006,5.7745537757873535,2.4879729747772217,5.825456142425537
151,Sambar,96.91847229003906,10.567740440368652,3.3500633239746094,4.382696628570557,3.3076579570770264,3.5215985774993896
152,Besan kadhi with pakodies,403.3492126464844,3.5637803077697754,1.6443043947219849,42.5884895324707,0.8779765963554382,0.8116763234138489
153,Khatta channa,202.5660552978516,21.140640258789062,6.295548915863037,10.559773445129396,4.749385356903076,5.260317325592041
154,Sprouted moong dal chat,32.47376251220703,6.005068302154541,1.3497076034545898,0.3216374218463897,1.566861629486084,1.3450292348861694
155,Potato cauliflower (Aloo gobhi),106.17748260498048,5.990505218505859,1.8975750207901,8.125692367553711,0.4361803531646728,3.01826286315918
156,Potato capsicum (Shimla mirch aloo),125.52963256835938,8.716957092285156,1.409610629081726,9.332274436950684,0.5350494384765625,2.024608373641968
157,Cabbage and peas (Pattagobhi aur matar),63.88294219970703,6.235406398773193,3.2393312454223637,2.6449499130249023,0.9664132595062256,3.9855921268463135
158,Carrot and fenugreek leaves (Gajar methi),61.91693878173828,4.170989990234375,2.095118284225464,3.806856632232666,2.107529163360596,4.428805828094482
159,Potato fenugreek (Aloo methi),135.14739990234375,8.468133926391602,2.24550199508667,10.040675163269045,0.5435065031051636,2.9267795085906982
160,Brinjal bhartha (Baingan ka bhartha),65.11573028564453,4.397458076477051,1.3797035217285156,4.480549812316895,1.816042423248291,3.27441954612732
161,Dry potato (Sookhe aloo),103.14553833007812,14.378251075744627,1.6200236082077026,4.182056903839111,0.3285106420516968,1.8769739866256716
162,Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63136291503906,4.393538951873779,2.618790864944458,11.393542289733888,2.062751054763794,5.585058689117432
163,Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11083984375,3.992308378219605,2.638852596282959,11.560721397399902,1.7083308696746826,5.270761966705322
164,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61273193359376,4.994035243988037,1.8197554349899288,8.621280670166016,2.355236053466797,4.521347522735596
165,Raw turnip with coconut ,132.14828491210938,5.7777838706970215,1.802955746650696,11.467101097106934,4.403262138366699,2.7898201942443848
166,Raw papaya with coconut (Papaya thoran),132.7501220703125,5.5771684646606445,1.535468816757202,11.42029094696045,3.821477890014648,4.314496040344238
167,Stuffed okra (Bharwa bhindi),94.34012603759766,3.85425329208374,2.079592704772949,7.655135631561279,0.4805203378200531,4.146153926849365
168,Stuffed round gourd (Bharwa tinde),72.7967758178711,4.020564079284668,1.1034642457962036,5.7472004890441895,1.959667682647705,2.103806734085083
169,Stuffed capsicum (Bharwa shimla mirch),90.94032287597656,8.255976676940918,1.3372509479522705,5.704382419586182,1.2133466005325315,2.0107569694519043
170,Stuffed brinjal (Bharwa baingan),92.99759674072266,3.958419799804688,1.5331376791000366,7.728148937225342,0.9218736290931702,4.091648101806641
171,Stuffed tomatoes (Bharwa tamatar),93.34754943847656,6.1900739669799805,3.2818820476531982,6.059778690338135,2.6756088733673096,2.197859764099121
172,Pea potato curry (Aloo matar),100.92295837402344,9.739043235778809,3.4828591346740723,5.126852989196777,1.8644886016845703,3.6079277992248535
173,Pea paneer curry (Matar paneer),134.83436584472656,9.291922569274902,6.605493068695068,7.750081539154053,3.8927581310272217,3.299630880355835
174,Pea mushroom curry (Matar mushroom),93.2961196899414,7.41149091720581,3.868680953979492,5.161108016967773,1.824824571609497,3.860334634780884
175,Pea curry (Matar ki sabzi),102.99124908447266,9.196368217468262,4.51231861114502,5.108823776245117,1.9816774129867556,4.439067363739014
176,Pea vadi curry,101.94745635986328,8.900667190551758,4.637181282043457,5.077193737030029,1.9231497049331665,4.284573554992676
177,Paneer curry,176.5167694091797,8.398056983947754,7.80112361907959,12.38486671447754,6.285912036895752,1.3991330862045288
178,Lotus stem curry (Kamal kakdi curry),110.33787536621094,9.235796928405762,1.529191493988037,7.250926971435547,2.086090087890625,3.141336441040039
179,Gravy for kofta,125.58592987060548,6.30678653717041,1.748348355293274,10.349658966064451,3.728222608566284,1.957253217697144
180,Pea kofta curry (Matar kofta curry),595.664794921875,4.1676106452941895,2.010419607162476,63.392459869384766,0.8833504319190979,1.7043529748916626
181,Spinach kofta curry (Palak kofta curry),571.7760620117188,3.5648884773254395,1.0858426094055176,61.49188995361328,0.8187775611877441,0.9238912463188172
182,Paneer kofta curry,670.9107666015625,3.2690014839172363,2.3853530883789062,72.06321716308594,1.9810341596603396,0.4012089967727661
183,Lotus stem kofta curry (Kamal kakdi kofta curry),633.5641479492188,5.014779090881348,0.9571969509124756,67.76353454589844,0.8781458735466003,1.0125051736831665
184,Raw banana kofta curry (Kela kofta curry),627.271484375,3.4044394493103027,0.6216891407966614,67.97930908203125,2.3014891147613525,0.5909394025802612
185,Cauliflower kofta curry (Phoolgobhi kofta curry),641.099609375,2.616612434387207,1.037197470664978,69.62345886230469,0.8289493322372437,0.9967566132545472
186,Cabbage kofta curry (Pattagobhi kofta curry),639.812744140625,2.87414813041687,0.9756070971488952,69.40044403076172,0.8907748460769653,0.902188003063202
187,Ghiya/Lauki Kofta Curry,638.7068481445312,2.7090401649475098,0.8883207440376282,69.40149688720703,0.8234696984291077,0.8348828554153442
188,Spinach paneer kofta curry (Palak paneer kofta curry),606.025146484375,2.942911386489868,1.426927924156189,65.40789031982422,1.1609245538711548,0.7456361055374146
189,Vegetarian egg kofta curry,627.4058227539062,4.260971546173096,1.3274797201156616,67.24187469482422,1.1895006895065308,0.6372975707054138
190,Baked vegetables,88.98686218261719,8.436529159545898,3.669917345046997,4.436777114868164,2.5621488094329834,2.335702419281006
191,Cauliflower musallam (Phoolgobhi musallam),58.82717514038086,4.484461307525635,1.8922444581985476,3.546742677688598,1.7072473764419556,3.0581061840057373
192,Baked vegetables with spinach ,77.79354858398438,6.929444313049316,3.2176640033721924,4.027524948120117,2.0877981185913086,2.325833797454834
193,Baked potato with skin ,135.77285766601562,11.109951972961426,3.426379680633545,8.503636360168457,1.6577990055084229,1.196682691574097
194,Shepherd's pie (vegetarian),135.63352966308594,12.034181594848633,5.0406107902526855,7.304504871368408,2.781447649002075,2.2289252281188965
195,Baked brinjal in tomato sauce,38.62895965576172,4.129225254058838,1.5794516801834106,1.6234697103500366,2.1959965229034424,2.340339422225952
196,Dum aloo,682.3298950195312,3.3304882049560547,0.6982631683349609,74.0066909790039,0.7082840204238892,0.6791980266571045
197,Spinach paneer (Palak paneer),77.6831283569336,4.429644584655762,4.033646583557129,4.763011932373047,2.55055832862854,1.906810522079468
198,Methi chaman,475.62451171875,2.778881788253784,1.5414977073669434,50.90748596191406,1.7927658557891846,0.5260059833526611
199,Sarson ka saag,87.84226989746094,5.325719356536865,3.004992723464966,5.860703468322754,0.7542064785957336,3.693440198898315
200,Jackfruit sabzi (Kathal ki sabzi),625.3995971679688,3.4002726078033447,0.6894789338111877,67.59599304199219,2.5894932746887207,1.0243123769760132
201,Avial,124.55918884277344,8.47270679473877,2.460927248001098,8.936988830566406,3.826639652252197,5.443193435668945
202,Al yakhani,147.54446411132812,4.646077632904053,2.857478380203247,13.144094467163086,3.5605387687683105,1.2702155113220217
203,Shahi paneer,156.49583435058594,6.6409196853637695,5.063810348510742,12.341103553771973,5.01357889175415,1.4023563861846924
204,Paneer in butter sauce,145.60780334472656,9.701619148254396,6.986546993255615,8.809211730957031,7.487279415130615,1.497916340827942
205,Methi malai paneer,194.97784423828125,8.150174140930176,7.340943813323975,14.758784294128418,6.001214981079102,1.4724628925323486
206,Chilli paneer,777.5137329101562,3.3070476055145264,2.1021547317504883,84.01101684570312,1.503921627998352,0.5005616545677185
207,Paneer makhana korma,775.816162109375,4.631985187530518,3.242100477218628,82.75785827636719,1.8411284685134888,0.2097858339548111
208,Kadhai Paneer,107.99248504638672,7.340911388397217,4.332953453063965,6.807462692260742,5.538896560668945,2.0674757957458496
209,Roghan josh,139.58607482910156,4.928968906402588,9.558643341064451,9.021520614624023,2.6610727310180664,2.0765023231506348
210,Spinach mutton (Palak mutton),80.32388305664062,3.4480481147766118,5.742547035217285,4.710127353668213,1.4156906604766846,2.232619285583496
211,Pea keema curry (Matar keema ki sabzi),133.0029754638672,6.240138053894043,8.433099746704102,8.137558937072754,1.8179516792297363,2.959560871124268
212,Keema kofta curry,154.45361328125,5.644655227661133,9.769634246826172,10.388391494750977,2.1375985145568848,1.507298707962036
213,Kashmiri mutton koftas (Gushtaba),97.42452239990234,3.0412137508392334,6.334486961364746,6.767289161682129,2.1251871585845947,0.624586820602417
214,Mutton yakhni,104.1250457763672,0.8425586819648743,8.272323608398438,7.70028018951416,0.1253284513950348,0.6720439195632935
215,Chicken yakhni,99.0019760131836,0.7757287621498108,10.658814430236816,6.098036766052246,0.1153876632452011,0.6187388300895691
216,Mutton do piaza,183.30474853515625,4.136778354644775,9.38663387298584,14.41110897064209,2.904559373855591,1.9265577793121336
217,Mutton chops,663.6375122070312,1.479083776473999,4.02982759475708,71.31482696533203,0.4167155623435974,0.1723128408193588
218,Shammi kebab,685.6908569335938,3.53739333152771,4.516568660736084,72.60784912109375,0.3147924244403839,1.049996018409729
219,Scotch egg,676.8924560546875,1.907884120941162,4.051231384277344,72.62322998046875,0.2955474555492401,0.3577994108200073
220,Shepherd's pie (with minced meat),142.7765350341797,8.057974815368652,7.448980808258057,8.878308296203613,1.6986808776855469,1.0464756488800049
221,Chicken curry,129.22390747070312,3.378472328186035,11.794968605041504,7.569104671478271,1.7907694578170776,1.4060683250427246
222,Tandoori chicken,145.19863891601562,2.3364603519439697,16.263874053955078,7.933260917663574,1.5838992595672607,0.5048695206642151
223,Butter chicken,137.00289916992188,3.744894981384277,10.924116134643556,8.699542045593262,2.3704187870025635,1.3239551782608032
224,Chicken kebab,729.4060668945312,1.113486647605896,3.707453489303589,78.8861312866211,0.2372558563947677,0.2123123556375503
225,Chilli chicken,198.8343048095703,2.859405279159546,9.572081565856934,16.562744140625,0.9303923845291138,0.9930559396743774
227,Fish curry (Machli curry),111.1279067993164,3.7737722396850586,8.761919975280762,6.691418170928955,2.0156424045562744,1.885729432106018
230,Tomato fish,489.78814697265625,3.17728853225708,2.3944642543792725,51.9081916809082,1.3504489660263062,0.7157089114189148
231,Baked fish with cheese sauce,113.96247100830078,4.064233303070068,8.636777877807617,7.021681785583496,3.216883420944214,0.0761272087693214
232,Fish tikka,117.33052825927734,3.9073238372802734,15.997218132019045,4.149013996124268,1.1809154748916626,1.1778521537780762
233,Tandoori fish,95.9795150756836,2.374371290206909,11.191893577575684,4.642070770263672,1.6037614345550537,0.5800588726997375
234,"Paneer, apple and pineapple salad",95.08026885986328,8.348224639892578,3.8840737342834473,5.067788600921631,6.363084316253662,1.647458791732788
235,Russian salad,114.8276596069336,6.499463081359863,4.262938499450684,7.836682319641113,1.6575355529785156,2.569731473922729
236,Pasta salad,190.3612060546875,12.696222305297852,4.153348922729492,13.917381286621094,2.595365047454834,0.9554808735847472
237,Deviled egg,98.5576629638672,2.2294209003448486,4.967010974884033,7.715618133544922,0.8237871527671814,1.1514867544174194
238,Hawain salad,175.2334442138672,14.351881980895996,4.268974781036377,11.366477966308594,5.242573261260986,3.933823108673096
239,Mixed pulse and vegetable salad,83.11799621582031,13.961459159851074,4.735941410064697,0.8368490934371948,1.3594567775726318,2.9610753059387207
240,Sprouted moong salad ,37.80807113647461,5.483361721038818,2.28932523727417,0.738871157169342,2.1341841220855717,0.9467975497245787
241,Tossed salad,62.95880508422852,4.951407432556152,1.024545431137085,4.218504428863525,1.556627631187439,2.1481525897979736
